Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
16,8,Winter,South CBR,19.42388363636364,133.2057018181818,10.149999999999999,114.33181818181819,1,29,18.873883636363615,932.1818181818181,0.7643584077253651,287.3793310909092
16,8,Winter,Tugg,51.264407272727276,275.7734981818182,21.0,171.8181818181818,3,60,103.95531636363637,932.1818181818181,0.7643584077253651,287.3793310909092
16,8,Winter,Gungahlin,48.89046727272728,148.72683090909092,16.799999999999997,88.89090909090909,3,48,59.83592181818183,932.1818181818181,0.7643584077253651,287.3793310909092
16,8,Winter,Woden Valley,61.10621636363638,187.66985272727274,49.0,163.54545454545456,9,140,24.12439818181818,932.1818181818181,0.7643584077253651,287.3793310909092
17,9,Summer,Belconnen,72.63217909090909,252.68066393939395,52.15,190.2409090909091,10,149,62.43975484848485,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,Nth CBR & City,44.331194242424246,258.4645275757576,17.849999999999998,168.81969696969696,3,51,89.64483060606062,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,CBR East,0.8431261616161615,49.2794897979798,5.949999999999999,24.889393939393937,1,17,24.390095858585862,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,South CBR,20.071758181818183,133.86569757575757,10.5,113.5,1,30,20.365697575757565,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,Tugg,52.7552596969697,249.19162333333333,22.049999999999997,163.7772727272727,3,63,85.41435060606062,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,Gungahlin,50.38191858585859,145.21828222222223,17.849999999999998,88.27424242424242,3,51,56.94403979797981,949.2272727272726,0.8340506842859663,188.86576000000025
17,9,Summer,Woden Valley,63.968741818181826,175.8475296969697,52.15,151.9378787878788,9,149,23.909650909090914,949.2272727272726,0.8340506842859663,188.86576000000025
18,9,Winter,Belconnen,75.33088242424243,275.23997333333335,55.65,213.22575757575757,10,159,62.01421575757578,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,Nth CBR & City,46.13917090909092,306.55129212121216,18.9,172.26363636363638,3,54,134.28765575757578,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,CBR East,0.8635361616161619,49.627172525252526,6.3,25.845454545454547,1,18,23.78171797979798,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,South CBR,20.72464484848485,134.53070545454545,10.85,115.4560606060606,1,31,19.07464484848485,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,Tugg,54.247103030303045,281.8107393939394,23.099999999999998,174.16060606060606,3,66,107.65013333333334,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,Gungahlin,51.87820525252526,156.06608404040406,18.9,90.86969696969697,3,54,65.19638707070709,966.2727272727274,0.7657903104623056,295.5253316363636
18,9,Winter,Woden Valley,66.89308848484849,198.1718763636364,55.3,174.45151515151514,9,158,23.720361212121247,966.2727272727274,0.7657903104623056,295.5253316363636
19,10,Summer,Belconnen,78.06599181818181,263.52053727272727,59.15,200.87727272727273,10,169,62.64326454545454,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,Nth CBR & City,47.97810818181817,267.9781081818182,19.95,173.04090909090908,3,57,94.9371990909091,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,CBR East,0.8837754545454545,49.97468454545455,6.6499999999999995,25.83181818181818,1,19,24.142866363636372,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,South CBR,21.382543636363636,135.20072545454548,11.2,114.2,1,32,21.000725454545474,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,Tugg,55.739937272727275,254.83084636363637,24.15,166.96818181818182,3,69,87.86266454545455,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,Gungahlin,53.379327272727274,152.47023636363636,19.95,90.67727272727274,3,57,61.79296363636362,983.3181818181819,0.8338885069515317,195.87804599999993
19,10,Summer,Woden Valley,69.87925636363636,186.24289272727273,58.449999999999996,161.08636363636364,9,167,25.15652909090909,983.3181818181819,0.8338885069515317,195.87804599999993
20,10,Winter,Belconnen,80.83750727272728,286.38296181818185,62.65,224.52878787878788,10,179,61.854173939393974,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,Nth CBR & City,49.848006060606075,316.7086121212121,21.0,177.8181818181818,3,60,138.8904303030303,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,CBR East,0.9038440404040406,50.32202585858586,7.0,26.727272727272727,1,20,23.594753131313134,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,South CBR,22.045454545454547,135.87575757575758,11.549999999999999,116.58030303030303,1,33,19.295454545454547,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,Tugg,57.23376242424243,287.8519442424242,25.2,176.5030303030303,3,72,111.34891393939392,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,Gungahlin,54.88528464646466,163.4246785858586,21.0,92.84848484848484,3,60,70.57619373737376,1000.3636363636364,0.7668333865353145,304.17481218181854
20,10,Winter,Woden Valley,72.92724545454547,208.92118484848487,61.599999999999994,185.35757575757575,9,176,23.563609090909125,1000.3636363636364,0.7668333865353145,304.17481218181854
21,11,Summer,Belconnen,83.6454287878788,274.5060348484849,66.14999999999999,211.51363636363635,10,189,62.992398484848536,1017.409090909091,0.8333934073097908,203.3938119999998
21,11,Summer,Nth CBR & City,51.748864545454545,277.6155312121212,22.049999999999997,177.2621212121212,3,63,100.35341,1017.409090909091,0.8333934073097908,203.3938119999998
21,11,Summer,CBR East,0.9237419191919192,50.66919646464647,7.35,26.774242424242424,1,21,23.894954040404045,1017.409090909091,0.8333934073097908,203.3938119999998
21,11,Summer,South CBR,22.713377575757576,136.5558018181818,11.899999999999999,114.9,1,34,21.6558018181818,1017.409090909091,0.8333934073097908,203.3938119999998
21,11,Summer,Tugg,58.72857848484849,260.474033030303,26.25,170.1590909090909,3,75,90.31494212121211,1017.409090909091,0.8333934073097908,203.3938119999998
