Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
14,7,Winter,Tugg,150.57575757575756,9.45,160.02575757575755,3,27,61.428787878787915,831.1742424242425,0.8913049129613924,101.36212121212122
14,7,Winter,Gungahlin,72.21212121212122,9.45,81.66212121212122,3,27,13.822727272727263,831.1742424242425,0.8913049129613924,101.36212121212122
14,7,Winter,Woden Valley,109.93939393939394,23.45,133.38939393939393,8,67,-11.540909090909082,831.1742424242425,0.8913049129613924,101.36212121212122
15,8,Summer,Belconnen,134.45454545454544,23.799999999999997,158.25454545454545,0,68,16.387878787878805,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,Nth CBR & City,148.84848484848484,6.3,155.14848484848486,0,18,53.118181818181824,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,CBR East,18.696969696969695,3.15,21.846969696969694,0,9,25.934848484848487,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,South CBR,103.0,3.15,106.15,0,9,7.6196969696969745,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,Tugg,140.63636363636363,9.45,150.08636363636361,0,27,43.69545454545457,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,Gungahlin,70.12121212121212,9.45,79.57121212121213,0,27,11.010606060606051,837.0530303030304,0.9934211283450001,5.543333333333294
15,8,Summer,Woden Valley,96.93939393939394,23.45,120.38939393939394,0,67,-12.99545454545455,837.0530303030304,0.9934211283450001,5.543333333333294
16,8,Winter,Belconnen,153.27272727272728,26.25,179.52272727272728,7,75,14.75,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,Nth CBR & City,149.9090909090909,7.0,156.9090909090909,2,20,97.05454545454546,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,CBR East,19.363636363636363,3.5,22.863636363636363,1,10,25.245454545454546,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,South CBR,104.18181818181819,3.5,107.68181818181819,1,10,6.099999999999994,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,Tugg,150.8181818181818,10.5,161.3181818181818,3,30,63.190909090909116,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,Gungahlin,72.0909090909091,10.5,82.5909090909091,3,30,17.24545454545455,851.6818181818181,0.8918762483030694,103.25090909090909
16,8,Winter,Woden Valley,114.54545454545455,26.25,140.79545454545456,8,75,-14.231818181818198,851.6818181818181,0.8918762483030694,103.25090909090909
17,9,Summer,Belconnen,138.0909090909091,26.25,164.3409090909091,0,75,15.707575757575768,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,Nth CBR & City,150.96969696969697,7.0,157.96969696969697,0,20,56.16363636363636,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,CBR East,18.939393939393938,3.5,22.439393939393938,0,10,25.9969696969697,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,South CBR,103.0,3.5,106.5,0,10,7.293939393939397,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,Tugg,141.72727272727272,10.5,152.22727272727272,0,30,44.20909090909092,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,Gungahlin,70.42424242424242,10.5,80.92424242424242,0,30,13.912121212121221,858.2272727272726,0.993770316473818,5.380000000000109
17,9,Summer,Woden Valley,99.78787878787878,26.25,126.03787878787878,0,75,-14.159090909090907,858.2272727272726,0.993770316473818,5.380000000000109
18,9,Winter,Belconnen,157.57575757575756,28.7,186.27575757575755,7,82,13.633333333333354,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,Nth CBR & City,153.36363636363637,7.699999999999999,161.06363636363636,2,22,99.34848484848487,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,CBR East,19.545454545454547,3.8499999999999996,23.395454545454548,1,11,25.368181818181817,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,South CBR,104.60606060606061,3.8499999999999996,108.4560606060606,1,11,5.3500000000000085,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,Tugg,151.06060606060606,11.549999999999999,162.61060606060607,3,33,64.95303030303029,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,Gungahlin,71.96969696969697,11.549999999999999,83.51969696969697,3,33,20.66818181818182,873.5227272727274,0.8937856607339856,103.80636363636359
18,9,Winter,Woden Valley,119.15151515151516,29.049999999999997,148.20151515151514,8,83,-16.922727272727258,873.5227272727274,0.8937856607339856,103.80636363636359
19,10,Summer,Belconnen,141.72727272727272,28.7,170.4272727272727,0,82,15.02727272727276,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,Nth CBR & City,153.0909090909091,7.699999999999999,160.79090909090908,0,22,59.20909090909092,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,CBR East,19.18181818181818,3.8499999999999996,23.03181818181818,0,11,26.059090909090912,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,South CBR,103.0,3.8499999999999996,106.85,0,11,6.968181818181833,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,Tugg,142.8181818181818,11.549999999999999,154.36818181818182,0,33,44.72272727272727,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,Gungahlin,70.72727272727273,11.549999999999999,82.27727272727273,0,33,16.813636363636363,880.0681818181819,0.9948565380030416,4.550000000000182
19,10,Summer,Woden Valley,102.63636363636364,29.049999999999997,131.68636363636364,0,83,-15.322727272727263,880.0681818181819,0.9948565380030416,4.550000000000182
20,10,Winter,Belconnen,161.87878787878788,31.15,193.02878787878788,7,89,12.51666666666668,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,Nth CBR & City,156.8181818181818,8.399999999999999,165.21818181818182,2,24,101.64242424242425,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,CBR East,19.727272727272727,4.199999999999999,23.927272727272726,1,12,25.490909090909096,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,South CBR,105.03030303030303,4.199999999999999,109.23030303030303,1,12,4.599999999999994,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,Tugg,151.3030303030303,12.6,163.9030303030303,3,36,66.71515151515152,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,Gungahlin,71.84848484848484,12.6,84.44848484848484,3,36,24.090909090909108,895.3636363636364,0.8956095218869179,104.36181818181831
20,10,Winter,Woden Valley,123.75757575757575,31.849999999999998,155.60757575757575,8,91,-19.613636363636346,895.3636363636364,0.8956095218869179,104.36181818181831
21,11,Summer,Belconnen,145.36363636363637,31.15,176.51363636363638,0,89,14.346969696969694,901.909090909091,0.9958923580996434,3.7200000000000273
21,11,Summer,Nth CBR & City,155.21212121212122,8.399999999999999,163.61212121212122,0,24,62.25454545454545,901.909090909091,0.9958923580996434,3.7200000000000273
21,11,Summer,CBR East,19.424242424242426,4.199999999999999,23.624242424242425,0,12,26.121212121212125,901.909090909091,0.9958923580996434,3.7200000000000273
